Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Togo,26.8745733,28.97128622,16.24530865,11.71765,15.30606651,15.02158398,29.3713784,26.25972978,18.57100948,22.87020229,34.3195244,68.562477,103.6999112,149.0211822,179.3384778,192.5770489,232.3750103,284.8253158,338.4237354,335.8541544,336.9258957,244.4,344.740603,397.4720164,427.8613546,363.7418028,367.1668764,403.610143,450.8145046,507.962802,650.3856102,674,668.2132995,7.993938264
Tonga,17.19048321,23.9450183,18.04150511,20.30541684,21.29071066,0,0,0,0,0,0,52.8098982,62.2022152,58.58370713,65.44653841,68.96160402,78.00332775,81.8011971,103.4824598,81.92155269,74.02995414,84.3,91.2487002,122.6799102,119.2910803,129.2781188,126.2335353,158.6026015,183.4351317,190.3663304,190.5512428,213.4945798,250,49.9001996
Trinidad and Tobago,2.988235294,4.8,6.188235294,18.25793965,25.67119297,30.39781544,28.12625285,30.19989032,44.56752866,54.4,38.10000202,40.90000219,79.1,86.8,86.9,92.4,91.2,109.4,94.5,109.3,90.9,161.8,138.7850567,145.1295937,144.8302102,155.2027978,145.1627432,135.0926066,138.7083226,144.0139097,194.4376359,233.446026,172.1361847,0.586754558
Tunisia,551.0436433,524.5393382,531.4137112,446.329982,628.7354854,679.8836902,735.55976,684.5051956,718.3472744,761.2383823,795.9533566,927.1484053,1070.313233,1250.253856,1431.351033,1392.672713,1510.039255,1715.757367,1976.964229,1964.488715,2063.294677,2004.498798,2265.714118,2290.512364,2346.621114,1971.375773,1821.247343,1890.325181,1902.286981,2049.663194,2367.372579,2194.5,2084.775,4.504504991
Turkey,3246,2819,3008,2919,2627,3327,3542,4197,5356,4533,4560,2786,1936,729,804,1368,1833,2096,2439,1834,1819,1883,1881,1901,1739,1395,1186,1048,1122,810,795,705,710,0.083188145
Uganda,0,0,0,0,0,0,0,0,0,232.6,238.1,348.6,441.83006,298.7851842,310.5324649,321.808493,411,451.5718759,723.5210027,781.0973194,770.789132,816.2318108,913.2641907,940.6643793,887.6113094,902.1575405,1146.050427,1165.739411,1338.053925,1424.508663,1061.9025,1082.74,1131.4633,2.340054806
Ukraine,0,0,0,0,0,0,6,12,12,18,419,829,1192,1523,1873,2408,3102,5290,6782,5941,6535,7822,8449,9667,7354,8474,9472,12132,14694,15788,15213,18060,18421.2,13.86094808
United Kingdom,977.173058,971.5964821,971.6866046,892.0198699,1044.822663,1399.144401,1421.446438,1648.877895,1391.991979,5447,5074.369393,4955.597476,5235.071153,5688.562225,5938.297739,6045.16608,6105.706286,6556.335761,5995.100746,5242.981857,4951.404773,5099.003471,4944.716073,4804.502413,4935.585091,5003.393486,4582.283767,4306.298127,4389.713567,4214.814558,3248.094194,3522.94379,2501,0.078193636
United States,1170,1300,1796,1820,1943,2179,2181,2270,2437,4246,4395,4513,4570,4672,4734,4795,5068,5219,5364,5740,5930,6104,6303,6613,6503,6578,6330,6347,6941,7049,6627,6899,6097,0.024353745
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0.00603803,36.053,61.753293,69.896167,76.74039,88.93462,96.476,107.912,101.073,124.891,128.836,91.6,98.84847842,97.83078521,90.26705823,90.44315301,109.3815548,113.9576994,112.271708,111.1173913,125.7334152,127.1164828,0.178632232
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029.420731,1420.598737,1708.896238,3631.858649,2179.877472,3437.519158,4910.053573,6089.643562,6443.498684,6815.207509,4843.179722,5795.1,7130.151739,7609.613692,8545.813107,6979.795069,9197.526465,13500,17.06333658
Vanuatu,6.888202171,6.967350996,6.813022774,4.943892324,5.758934223,6.128563705,0,0,7.780195752,9.620368634,13.50673014,18.43038556,4.097122925,3.995373326,4.930017207,5.097613246,4.989726638,5.543183072,8.906629699,11.49204372,11.8,21.76588649,22.03653753,23.71013091,64.09105225,104.1931067,80.5344706,26.17784446,35.21941633,74.99709761,97.95338381,169.0120662,75,7.62195122
Vietnam,0,0,0,0,0,0,0,0,0,0,1340,1100,1770,2100,2310,3150,3800,6180,6805,6020,8260,8600,10000,11000,12000,13000,14000,15000,16000,17000,17200,18060,19000,4.591501373
West Bank and Gaza,0,0,0,0,0,582.1,542.3,623.3,1058.245498,1096.285162,863.8,805.7424632,771.7751176,310.0779684,398.558393,378.3372389,464.0563179,598.5434232,740.7243655,755.2359079,927.1393866,1141.713036,1737.049553,1489.335822,1804.542445,1817.412109,2086.576176,2378.923437,2833.912788,3152.859814,2559.660846,3393.3649,3495.165847,18.57352454
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,48.4,52.9,57.68,59.3,68.195,41.264,43.657312,46.27675072,72.864,53.98026206,58.30030243,47.04653813,38.464441,93.64409526,106.9656259,98.25912081,134.8648317,241.6884132,260.15,0.962627197
Zimbabwe,0.487598782,0.282918598,0.410771596,0.508733804,0.599091557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205.7,1413.248657,1919.476002,2113.579668,1890.271473,1903.970852,2046.579806,1856.034931,1729.883817,1427.703019,1417.011953,1832.039381,1982,2047.406,5.348500522
