Migrant remittance inflows (US$ million),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,% of GDP in 2022
Czech Republic,0,0,0,138.0674672,164.0078803,189.1030298,110.4743331,71.07622785,345.8414147,310.6286638,293.9650524,256.4606608,332.6646178,493.7155265,1221.9,1340.517764,1603.247264,1827.046315,1134.443633,1196.075195,1229.063882,1394.312633,1409.130137,1737.884337,2628.261738,2674.828099,3126.38808,3585.217057,3935.990609,3859.93709,4185.806688,4386.865793,4538.534668,1.535270067
Denmark,0,0,464.252461,449.9060025,438.7391715,522.9271775,0,852.389081,765.4942513,803.2081839,666.5100559,698.6232815,784.8592968,940.5723017,1075.395076,666.1,740.2663888,823.2039592,1051.704665,1019.066492,925.4674621,1149.885933,1182.24424,1370.760789,1483.0218,1258.255663,1247.014793,1314.451448,1415.297049,1451.438647,1488.326094,1492.20679,1517.082764,0.392290823
Djibouti,0,13.12169074,13.12169074,19.03545445,13.54932732,11.88942218,10.94412028,11.4730392,11.94006336,11.56306795,12.28892478,11.94569015,14.95602658,24.6678783,24.74102667,25.84950569,28.47159312,28.64039703,30.32843614,32.46661903,32.64104974,32.35970988,33.26562421,39.787082,37.8795978,39.71393364,40.23722576,41.3231976,59.85786711,79.46162806,64.05545771,65,54.68164825,1.467963712
Dominica,9.781481481,0.4,0.244444444,9.618518519,10.32222222,10.84074074,11.10740741,11.42962963,12.07037037,12.98518519,13.52222222,14.34259259,14.45775926,14.80481481,20.03114074,21.77234444,22.07503333,22.48258519,22.68633333,22.13852222,22.8892963,22.87014,23.24889852,23.55113407,50.5,55.92820398,44.03372367,44.35132108,42.14141837,47.5060825,67.96052117,57.53490507,52,8.681135225
Dominican Republic,314.8,329.5,346.6,758.1,797.5,839.2,962.7,1142.2,1405.8,1631.1,1838.8,1981.8,2194.3,2325.4,2501.2,2719.2,3053.8,3397,3605.5,3414.7,3887,4240.7,4262.1,4485.5,4810.4,5196.2,5508.4,6177.8,6817.7,7420.6,8331.6,10742.8,9919.75,8.824065755
Ecuador,51,56,75,202.92,276.23,386.12,488.96,647.72,798.72,1089.52,1322.301,1420.558147,1438.022869,1633.427048,1838.041771,2460,2933.808811,3341.337813,3088.633129,2742.436211,2599.027039,2680.596337,2476.225962,2458.803089,2472.449389,2387.555892,2612.1,2849.068577,3039.078509,3242.684317,3343.696164,4367.441781,4467.892942,3.869344102
"Egypt, Arab Rep.",4283.5,4054,6104,5664,3672,3226,3107,3697,3370,3235.3,2852,2911.4,2893.1,2960.9,3340.7,5017.3,5329.5,7655.8,8694,7149.6,12453.1,14324.3,19236.4,17833.1,19570.4,18325.4,18590.4,24737.4,25515.7,26781.4,29602.9,31487,32337.149,6.893532853
El Salvador,366.2789,475.2349272,694.308781,795.7475862,971.7313476,1063.899862,1083.837807,1199.486081,1338.320959,1386,1764.2,1924.3,1952.6,2121.3,2563,3028.6,3482.7,3709.05,3754.75,3402.34,3471.836719,3643.949246,3914.048534,3966.478548,4160.378001,4274.620676,4561.580071,4996.353545,5391.738702,5656.754219,5930.817757,7488.469373,7620,23.82068836
Estonia,0,0,0,0,2.905014729,1.283825098,1.684442021,1.737374157,2.644205993,2.314638977,4.052634247,11.02069808,19.14898041,42,154.9793481,254.609795,392.1388009,381.2827572,416.3292384,340.0513235,357.0840442,438.6505977,460.6755916,564.7964694,543.9235817,457.2826525,486.4826384,505.0912838,570.4044769,541.9152438,506.6084868,580.2772758,625.7612915,1.602297566
Eswatini,110.539055,108.3179572,110.3080075,82.40492497,76.92551769,82.22387951,75.39583026,83.75134776,78.36518293,70.00983853,56.79607349,52.71709455,44.13093443,65.22529553,82.79758053,95.42186976,95.65506859,95.12218317,89.63736606,93.45776262,54.69032385,63.5,88.54567984,75.12041321,95.82445755,95.77140234,98.42104399,144.4153936,125.7373221,118.7020818,112.4953804,132.1682246,148.0284116,3.170452165
